time_date,odds,time,date,month,day,year,date_time
08:03 06 Fe Tu,1.54,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.29,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.28,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,149.47,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.37,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.02,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.07,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.8,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,176.5,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.02,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,2.41,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,3.73,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,3.82,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.62,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,2.4,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.74,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,2.67,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.04,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,6.76,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.25,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:03 06 Fe Tu,1.14,08:03,6,2,Tu,2024,2024-02-06 08:03:00
08:15 06 Fe Tu,9.82,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.53,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.5,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.74,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.05,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.06,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.13,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.74,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,4.57,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.18,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.02,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,2.57,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,2.63,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.35,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,3.1,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,2.96,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,3.99,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,1.19,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,2.35,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:15 06 Fe Tu,2.15,08:15,6,2,Tu,2024,2024-02-06 08:15:00
08:31 06 Fe Tu,2.23,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.76,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.52,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.13,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.94,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.24,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.8,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.17,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.28,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.0,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.07,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.18,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.18,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.07,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.49,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.09,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.39,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.91,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,2.12,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:31 06 Fe Tu,1.46,08:31,6,2,Tu,2024,2024-02-06 08:31:00
08:48 06 Fe Tu,8.3,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.75,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,5.19,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.12,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.77,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.73,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.57,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,24.03,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,2.85,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,1.01,08:48,6,2,Tu,2024,2024-02-06 08:48:00
08:48 06 Fe Tu,8.58,08:48,6,2,Tu,2024,2024-02-06 08:48:00
