"X1" "Y"
"1" 0.997646878939122 1
"2" 0.613356959540397 1
"3" 0.296505213482305 1
"4" 0.527262914692983 1
"5" 0.494425839046016 1
"6" 0.579152078833431 1
"7" 0.598054148955271 1
"8" 0.266064274357632 1
"9" 0.301542963366956 1
"10" 0.225845847511664 -1
"11" 0.411170291947201 1
"12" 0.67549918172881 1
"13" 0.629059981554747 1
"14" 0.841608313145116 1
"15" 0.147036572452635 -1
"16" 0.673188707791269 1
"17" 0.63118246733211 1
"18" 0.587869385723025 1
"19" 0.87275974615477 1
"20" 0.354271778371185 1
"21" 0.25685398420319 1
"22" 0.279391841497272 1
"23" 0.00802474701777101 -1
"24" 0.941357536939904 1
"25" 0.916711583966389 1
"26" 0.128475580364466 -1
"27" 0.191379935014993 -1
"28" 0.466358370380476 1
"29" 0.836201176745817 1
"30" 0.334755478659645 1
"31" 0.625181074952707 1
"32" 0.976101256208494 1
"33" 0.0805579572916031 -1
"34" 0.256359344115481 1
"35" 0.112601344240829 -1
"36" 0.556615530280396 1
"37" 0.247684061760083 -1
"38" 0.208345357561484 -1
"39" 0.822881903266534 1
"40" 0.206634425092489 -1
"41" 0.792728133965284 1
"42" 0.995895838132128 1
"43" 0.675281714880839 1
"44" 0.128188481321558 -1
"45" 0.903332771733403 1
"46" 0.0991596686653793 -1
"47" 0.0541077984962612 -1
"48" 0.437277184333652 1
"49" 0.680422799428925 1
"50" 0.333635760005563 1
"51" 0.470335331512615 1
"52" 0.659389175707474 1
"53" 0.0114411890972406 -1
"54" 0.796266126679257 1
"55" 0.591667202068493 1
"56" 0.990723317023367 1
"57" 0.885368632385507 1
"58" 0.788461381569505 1
"59" 0.0683094086125493 -1
"60" 0.275361832464114 1
"61" 0.949256725609303 1
"62" 0.709539556642994 1
"63" 0.358284109737724 1
"64" 0.812648287275806 1
"65" 0.165744903730229 -1
"66" 0.350458308355883 1
"67" 0.766833180096 1
"68" 0.547343355603516 1
"69" 0.158669470576569 -1
"70" 0.574745677178726 1
"71" 0.864507058635354 1
"72" 0.233914418146014 -1
"73" 0.540712169837207 1
"74" 0.105158791178837 -1
"75" 0.419494406320155 1
"76" 0.513354950584471 1
"77" 0.473659479059279 1
"78" 0.552248587366194 1
"79" 0.924857411766425 1
"80" 0.834604788105935 1
"81" 0.814370626816526 1
"82" 0.187142503447831 -1
"83" 0.935993460239843 1
"84" 0.765644712373614 1
"85" 0.74225345836021 1
"86" 0.558286429382861 1
"87" 0.970477838767692 1
"88" 0.144584619440138 -1
"89" 0.802360490430146 1
"90" 0.458459832705557 1
"91" 0.574718965683132 1
"92" 0.0881555031519383 -1
"93" 0.0448561632074416 -1
"94" 0.967556484043598 1
"95" 0.902368365321308 1
"96" 0.483872987795621 1
"97" 0.677199529716745 1
"98" 0.74367966526188 1
"99" 0.561639279592782 1
"100" 0.770199758000672 1
"101" 0.497870315564796 1
"102" 0.246650820598006 -1
"103" 0.397017093608156 1
"104" 0.124174333875999 -1
"105" 0.582933070138097 1
"106" 0.850013165967539 1
"107" 0.590126508381218 1
"108" 0.013937423704192 -1
"109" 0.987030657706782 1
"110" 0.537831570953131 1
"111" 0.408330390462652 1
"112" 0.088076610583812 -1
"113" 0.29454412101768 1
"114" 0.180521328002214 -1
"115" 0.806854354450479 1
"116" 0.741484715137631 1
"117" 0.816420849878341 1
"118" 0.648348055081442 1
"119" 0.602114468114451 1
"120" 0.389332541031763 1
"121" 0.586130905663595 1
"122" 0.668521029641852 1
"123" 0.729622128186747 1
"124" 0.765761743299663 1
"125" 0.745300149545074 1
"126" 0.666224697371945 1
"127" 0.510836314875633 1
"128" 0.692104739369825 1
"129" 0.0299020479433239 -1
"130" 0.302508170250803 1
"131" 0.390102912671864 1
"132" 0.857852072222158 1
"133" 0.532717575784773 1
"134" 0.516266774851829 1
"135" 0.0539949440862983 -1
"136" 0.694066748488694 1
"137" 0.297860745573416 1
"138" 0.799256087979302 1
"139" 0.553626193664968 1
"140" 0.173672932898626 -1
"141" 0.414291970431805 1
"142" 0.190971159841865 -1
"143" 0.681028478080407 1
"144" 0.678475901251659 1
"145" 0.257955269655213 1
"146" 0.963602661620826 1
"147" 0.866986888926476 1
"148" 0.955532287014648 1
"149" 0.608059421880171 1
"150" 0.92331310804002 1
"151" 0.0497938427142799 -1
"152" 0.994139522314072 1
"153" 0.0125030830968171 -1
"154" 0.505751337623224 1
"155" 0.334838611772284 1
"156" 0.263284153537825 1
"157" 0.0184986914973706 -1
"158" 0.110399031313136 -1
"159" 0.173865722026676 -1
"160" 0.115295311668888 -1
"161" 0.906710776500404 1
"162" 0.513552274089307 1
"163" 0.972227497259155 1
"164" 0.930860157590359 1
"165" 0.731234666425735 1
"166" 0.330853570718318 1
"167" 0.750396906631067 1
"168" 0.190579427871853 -1
"169" 0.682333423290402 1
"170" 0.101922331377864 -1
"171" 0.109242141013965 -1
"172" 0.0791866609361023 -1
"173" 0.983364715008065 1
"174" 0.996300836559385 1
"175" 0.313585278112441 1
"176" 0.105471136048436 -1
"177" 0.746672607958317 1
"178" 0.526749230688438 1
"179" 0.713260936783627 1
"180" 0.784949406981468 1
"181" 0.890787196811289 1
"182" 0.670976411085576 1
"183" 0.430377481039613 1
"184" 0.0958823361434042 -1
"185" 0.448197871446609 1
"186" 0.199404334649444 -1
"187" 0.309280455112457 1
"188" 0.913795238360763 1
"189" 0.570330442627892 1
"190" 0.740869198925793 1
"191" 0.149460738059133 -1
"192" 0.732533368514851 1
"193" 0.274648811202496 1
"194" 0.792387065943331 1
"195" 0.78541666502133 1
"196" 0.657830181531608 1
"197" 0.553742071380839 1
"198" 0.352122957119718 1
"199" 0.190759092336521 -1
"200" 0.929890173953027 1
